score,city,state,total_actives,new_last_30d,new_last_90d,momentum_pct,top_rep,avg_deal_price,social_proof,call_angle
208,Houston,Texas,86,4,8,4.7,haidee,161.0,Car World Enterprises LLC | TOP STAR AUTO SALES | SM Auto,3+ dealers joined this month — market is hot. Drop names of recent signups.
157,Dallas,Texas,65,3,6,4.6,vanessa,160.0,makka auto sales | Preston Premier Auto LLC | Rayyan Autos,3+ dealers joined this month — market is hot. Drop names of recent signups.
100,Sacramento,California,39,2,6,5.1,adam.c,186.0,M&S Auto Group | Specialty Motorsports | Auto World Of Sacramento,Strong existing cluster (39 actives) + recent activity. Use cluster as proof.
88,Orlando,Florida,33,2,6,6.1,hazel,222.0,Orlando Max Motors | FLORIDA CARS CENTER | Orange County Auto Sales,Strong existing cluster (33 actives) + recent activity. Use cluster as proof.
83,San Antonio,Texas,35,1,4,2.9,lisa,214.0,AMA MOTORS | Streamline Auto Center | Varez Autocredit LLC,Strong existing cluster (35 actives) + recent activity. Use cluster as proof.
81,Phoenix,Arizona,34,1,4,2.9,alexa,173.0,Dynamite Auto Sales | Robles AUto Sales | LOCAL CAR DEALER LLC,Strong existing cluster (34 actives) + recent activity. Use cluster as proof.
78,Tampa,Florida,30,2,4,6.7,lisa,209.0,New Tampa Auto | ONE EXOTICS Luxury Vehicles | Power House Automotive,Strong existing cluster (30 actives) + recent activity. Use cluster as proof.
70,Fredericksburg,Virginia,26,2,4,7.7,alexa,223.0,EAG MOTORSPORTS LLC | Mortons Motorcycles | Signature Motor Inc,Strong existing cluster (26 actives) + recent activity. Use cluster as proof.
64,Las Vegas,Nevada,23,2,4,8.7,bill,212.0,Solution One Auto | Carson Trailer Las Vegas | CARMATE,Strong existing cluster (23 actives) + recent activity. Use cluster as proof.
58,Jacksonville,Florida,22,2,2,9.1,Claire,221.0,A Plus Auto Deals LLC | Auto Traders INC | Brightway auto sales,Strong existing cluster (22 actives) + recent activity. Use cluster as proof.
55,Raleigh,North Carolina,16,3,4,18.8,mason,239.0,METRI MOTORS | CAR LAND AUTO TRADING | Import Performance,3+ dealers joined this month — market is hot. Drop names of recent signups.
54,El Paso,Texas,26,0,1,0.0,hazel,237.0,U.S. CAR SALES | JS Motors | IDRIVE,Dominant market presence (26 actives). Every non-customer knows your customers.
53,Richmond,Virginia,13,3,6,23.1,mason,240.0,"CAR-WAY LLC | Grace Auto Sales and Service Inc | Capital Motors, LLC",3+ dealers joined this month — market is hot. Drop names of recent signups.
52,Oklahoma City,Oklahoma,17,2,4,11.8,amanda,181.0,Auto Place Credit | Ideal Car Solutions LLC | Wheels of Norman,Strong existing cluster (17 actives) + recent activity. Use cluster as proof.
52,Columbus,Ohio,17,2,4,11.8,william,201.0,Twins Buick GMC | Capital City Auto Sales | Kellie auto sales,Strong existing cluster (17 actives) + recent activity. Use cluster as proof.
50,Miami,Florida,17,2,3,11.8,adam.c,214.0,MOTORS TRUST INC | Truck and Van Outlet | selective motor cars,Strong existing cluster (17 actives) + recent activity. Use cluster as proof.
50,Denver,Colorado,21,0,4,0.0,bill,185.0,Ariana Auto Sales LLC | Premier Rides | New Wave Auto Brokers & Sales,Dominant market presence (21 actives). Every non-customer knows your customers.
48,Knoxville,Tennessee,22,0,2,0.0,hazel,179.0,Moto Now Inc | Rev Motors | Grayson BMW 6,Dominant market presence (22 actives). Every non-customer knows your customers.
46,Virginia Beach,Virginia,15,2,3,13.3,heather,181.0,carmood | ATLAS MOTORS | Auto Union LLC,Strong existing cluster (15 actives) + recent activity. Use cluster as proof.
46,Cleveland,Ohio,12,2,6,16.7,mark,193.0,unity motor hub | DRIVETREND | Patriot Auto,Strong existing cluster (12 actives) + recent activity. Use cluster as proof.
43,Tulsa,Oklahoma,15,1,4,6.7,amanda,219.0,BIG WHEEL MOTORS | Big Mikes Auto Sales | Chargers auto Sales,Strong existing cluster (15 actives) + recent activity. Use cluster as proof.
42,Mesa,Arizona,14,2,2,14.3,bill,228.0,Aeo Powersports | MOTO A2Z | Carz R Us LLC,Strong existing cluster (14 actives) + recent activity. Use cluster as proof.
42,Kissimmee,Florida,6,4,5,66.7,amanda,199.0,Kissimmee MotorSports Inc. | Kissimmee MotorSports Inc. | Kissimmee MotorSports Inc.,3+ dealers joined this month — market is hot. Drop names of recent signups.
40,San Jose,California,13,2,2,15.4,alexa,245.0,all usa motors | MoegreatCars | K Auto Center West,Strong existing cluster (13 actives) + recent activity. Use cluster as proof.
40,Portland,Oregon,19,0,1,0.0,bill,183.0,Ty's Rides | Pacific Golf & Turf  Portland | AetheriumAutomotive LLC,Dominant market presence (19 actives). Every non-customer knows your customers.
40,Fort Worth,Texas,20,0,0,0.0,bill,172.0,CASTILLO MASTER MOTORS | DFW AUTO AND SERVICES | NORTH TEXAS MARINE,Dominant market presence (20 actives). Every non-customer knows your customers.
39,Fort Myers,Florida,9,3,3,33.3,amanda,188.0,North Trail RV | North Trail RV | North Trail RV,3+ dealers joined this month — market is hot. Drop names of recent signups.
37,Chicago,Illinois,13,1,3,7.7,amanda,176.0,High Point Auto Sales | MAX MOTORS INC | Regional Auto Group,Strong existing cluster (13 actives) + recent activity. Use cluster as proof.
37,Calgary,Alberta,15,1,1,6.7,bill,118.0,Bspace Automotive | Double L Motors | Red Mile Motors,Strong existing cluster (15 actives) + recent activity. Use cluster as proof.
36,Arlington,Texas,18,0,0,0.0,william,202.0,The Kar Store | NESCO Group LLC | McAndrew Motors,Dominant market presence (18 actives). Every non-customer knows your customers.
35,Barrie,Ontario,6,3,4,50.0,Meryem Bismi,172.0,Monaco Motorcars | SOURCE1 MOTORS INC | Car Central,3+ dealers joined this month — market is hot. Drop names of recent signups.
32,Grand Prairie,Texas,15,0,1,0.0,nathalie,165.0,Roly's auto sales | DFW Motorcars | Dallas Motors Sport LLC,Dominant market presence (15 actives). Every non-customer knows your customers.
32,Modesto,California,16,0,0,0.0,bill,159.0,Powersports of Modesto | janet' auto sales | Discount Cars & Trucks,Dominant market presence (16 actives). Every non-customer knows your customers.
31,Colorado Springs,Colorado,5,3,3,60.0,rf005,239.0,DAS Trucks | Mountain View Motors Inc. | K2 Automotive Group,3+ dealers joined this month — market is hot. Drop names of recent signups.
31,Fort Lauderdale,Florida,9,1,4,11.1,mason,200.0,M R UNION GROUP LLC | FAST TRACK MOTORS BUY HERE PAY HERE OF BROWARD LLC | FAST TRACK MOTORS BUY HERE PAY HERE OF BROWARD LLC,9 active dealers in area. Use as social proof in opener.
31,Edmonton,Alberta,12,1,1,8.3,Claire,189.0,Family Motors | Cars and Credit Canada LTD | JEET AUTO SALES,Strong existing cluster (12 actives) + recent activity. Use cluster as proof.
30,Springfield,Missouri,8,2,2,25.0,adam.c,236.0,417autoland.com | The Auto Specialists | May Motor Company,8 active dealers in area. Use as social proof in opener.
30,Austin,Texas,14,0,1,0.0,athena,147.0,BESTWAY CARS | TJ's Cycle | Austinite Auto Sales,14 active dealers in area. Use as social proof in opener.
30,Boise,Idaho,13,0,2,0.0,adam.c,199.0,"Sunset Motors, Inc. | USA WORK TRUCKS | Legacy Auto Sales",13 active dealers in area. Use as social proof in opener.
30,Tucson,Arizona,14,0,1,0.0,adam.c,125.0,Carson Trailer Tucson | Sunwest Financial Services | MG Motors,14 active dealers in area. Use as social proof in opener.
30,Ottawa,Ontario,14,0,1,0.0,ashley,126.0,The Truck Town | MTC AUTO SALES | Mtc Auto Sales,14 active dealers in area. Use as social proof in opener.
30,Omaha,Nebraska,15,0,0,0.0,maria,211.0,L.A AUTO SALES | AUTOVALLEY | TJK AUTO LLC,Dominant market presence (15 actives). Every non-customer knows your customers.
29,Monroe,North Carolina,8,1,4,12.5,rf002,203.0,Power On Auto | AUTO TRACK | DJS AUTO BROKERS,8 active dealers in area. Use as social proof in opener.
29,Greensboro,North Carolina,10,1,2,10.0,rf007,231.0,U-Save Auto Sales | Andra Brown | SPEED AUTO MALL,Strong existing cluster (10 actives) + recent activity. Use cluster as proof.
29,Mobile,Alabama,11,1,1,9.1,bill,208.0,Work Trux | NEXT CAR AUTOMOTIVE | CarBox,Strong existing cluster (11 actives) + recent activity. Use cluster as proof.
29,Detroit,Michigan,8,1,4,12.5,john harris,180.0,Coolidge Hwy Motors | Bobby | HONEST AUTO SALES LLC,8 active dealers in area. Use as social proof in opener.
29,Tacoma,Washington,11,1,1,9.1,amanda,176.0,AROMAX AUTO SALES | GT auto | Auto Outlet of Tacoma,Strong existing cluster (11 actives) + recent activity. Use cluster as proof.
28,Toronto,Ontario,12,0,2,0.0,ashley,207.0,Kia Yorkdale | AUTO GALLERY | Groupe Carrier,12 active dealers in area. Use as social proof in opener.
28,Surrey,British Columbia,13,0,1,0.0,hazel,130.0,NEXUS AUTO GROUP | Sapphire Motors | Inaaya Motors,13 active dealers in area. Use as social proof in opener.
27,Chattanooga,Tennessee,7,1,4,14.3,adam.c,212.0,Auto source of chattanoga | CROCKETT POWERSPORTS | T&J Motors,7 active dealers in area. Use as social proof in opener.
27,Scottsdale,Arizona,9,1,2,11.1,adam.c,215.0,Rockland Trailers | Cars By Helmand At Mercedes Benz of Scottsdale | Hubbard Auto Center,9 active dealers in area. Use as social proof in opener.
27,Des Moines,Iowa,9,1,2,11.1,adam.c,231.0,Capitol City Powersports | Pre-Owned Autos of Des Moines | Tom's Auto Group/ChrisS,9 active dealers in area. Use as social proof in opener.
27,Garland,Texas,10,1,1,10.0,heather,159.0,Dallasautos4less | AUTO CHOICE GARLAND | keith mccoy automotive llc,Strong existing cluster (10 actives) + recent activity. Use cluster as proof.
26,Michigan Center,Michigan,6,2,2,33.3,hazel,199.0,Monster Motors Michigan | Monster Motors Michigan | Monster Motors Michigan,Fast growing (33.3% joined recently). Urgency play — market is moving.
26,Manassas,Virginia,12,0,1,0.0,lexi,300.0,Vision Motors Inc | Sell My Car | Auto Group Inc.,12 active dealers in area. Use as social proof in opener.
25,Nashville,Tennessee,8,1,2,12.5,adam.c,208.0,RIDE AND ROLL AUTO SALES AND SERVICE INC | City Car Auto INC | Tennessee Imports,8 active dealers in area. Use as social proof in opener.
25,Los Angeles,California,7,1,3,14.3,ashley,198.0,Autofest Inc | Top Ride Auto | LA AUTO CHOICE,7 active dealers in area. Use as social proof in opener.
25,Spring,Texas,8,1,2,12.5,dave,180.0,TEXAS TRAILER SUPPLY SUPPLY | Crown Auto INC | SAFY AUTO SALES,8 active dealers in area. Use as social proof in opener.
25,Idaho Falls,Idaho,7,1,3,14.3,Robert Anderson,188.0,Elite Auto Sales | Colonial Truck & Auto | Stone's Kia,7 active dealers in area. Use as social proof in opener.
25,San Diego,California,8,1,2,12.5,hazel,136.0,Star Auto SD | West Coast Auto Finance | Zas Motors,8 active dealers in area. Use as social proof in opener.
